id_cliente,nombre_completo,edad,género,departamento,tipo_cuenta,saldo_actual,ingresos_mensuales,monto_transacción,tipo_transacción,fecha_transacción,estado_transacción
1761,Lucía Martínez,31,M,Puno,Ahorros,8998.0,6911,13721,Pago,2024-12-22 23:10:52.809895903,Exitosa
3760,Carlos Torres,56,F,Puno,Ahorros,45113.0,3819,14174,Retiro,2022-01-01 20:01:56.767913375,Pendiente
3359,Sofía Rodríguez,69,M,Puno,Corriente,47869.0,14297,10860,Depósito,2021-06-19 23:56:35.838912308,Exitosa
551,Ana García,31,F,La Libertad,Corriente,34973.0,8271,17502,Transferencia,2025-12-10 03:27:31.058372036,Exitosa
198,Pedro Fernández,27,F,La Libertad,Ahorros,45389.0,8643,16729,Transferencia,2022-12-08 04:36:25.946562087,Fallida
2482,Valeria García,22,F,Puno,Corriente,23600.0,3297,3524,Depósito,2023-09-17 01:46:38.408875876,Fallida
2685,Andrés Torres,27,M,Junín,Tarjeta de Crédito,40758.0,14871,15191,Pago,2022-12-31 04:13:54.683468675,Pendiente
683,Carlos Rodríguez,51,M,Junín,Ahorros,44141.0,4884,11633,Transferencia,2020-12-24 20:04:13.411630210,Fallida
3218,Carlos Ramírez,26,F,Arequipa,Tarjeta de Crédito,23608.0,4085,15064,Depósito,2021-11-26 02:40:52.355460331,Fallida
2824,Andrés Ramírez,21,M,Arequipa,Tarjeta de Crédito,11983.0,14656,6930,Pago,2020-07-30 06:27:03.570389483,Exitosa
823,Lucía García,56,F,Junín,Corriente,3769.0,2825,-4626,Pago,2022-04-12 18:35:27.500782616,Fallida
2605,Valeria Torres,67,M,Ica,Ahorros,20828.0,920,8794,Pago,2020-01-01 19:06:16.755840899,Pendiente
1225,Carlos Gómez,48,F,Puno,Corriente,7204.0,9933,734,Retiro,2020-11-27 18:03:32.284889472,Exitosa
3768,Ana Martínez,61,F,Puno,Ahorros,33406.0,13386,-1086,Depósito,2023-01-05 20:25:45.286250142,Exitosa
3671,Lucía Martínez,35,M,Puno,Corriente,32514.0,858,13801,Retiro,2020-02-04 09:35:35.728775423,Exitosa
425,Pedro Fernández,60,M,Piura,Ahorros,6921.0,14799,13822,Transferencia,2022-03-25 16:08:41.486867481,Pendiente
3332,Carlos Martínez,69,F,Cusco,Ahorros,33294.0,6138,16489,Depósito,2023-01-29 03:19:09.104770499,Pendiente
3762,Jorge Ramírez,35,F,Lambayeque,Ahorros,15564.0,4069,-4875,Transferencia,2025-05-13 06:32:01.323440446,Exitosa
1830,Lucía Torres,63,M,La Libertad,Ahorros,10926.0,1186,822,Pago,2022-08-18 06:07:39.530252611,Pendiente
2099,Andrés García,28,M,Arequipa,Tarjeta de Crédito,26324.0,12519,-1599,Retiro,2021-12-12 01:05:06.216994220,Pendiente
249,Andrés Ramírez,20,F,Ica,Plazo Fijo,24792.0,13267,13042,Transferencia,2020-04-21 19:24:02.391676131,Exitosa
2354,María Ramírez,19,M,Lambayeque,Corriente,37859.0,14289,5392,Pago,2025-06-08 16:44:07.350153214,Fallida
4793,Luis Martínez,33,M,Loreto,Tarjeta de Crédito,35552.0,6854,18309,Depósito,2024-01-17 13:03:18.369144391,Fallida
4442,Andrés Ramírez,61,M,Lambayeque,Ahorros,27258.0,2831,6695,Transferencia,2023-07-07 12:51:18.453712442,Fallida
322,Jorge Rodríguez,60,F,Loreto,Corriente,40193.0,7099,-1753,Pago,2020-04-02 12:31:14.357392650,Pendiente
2904,Jorge Torres,53,F,Piura,Corriente,2073.0,7051,17988,Depósito,2020-10-31 13:53:24.460968376,Exitosa
2454,Sofía Gómez,68,M,Ica,Ahorros,13606.0,10748,10443,Retiro,2024-03-02 04:54:31.664224429,Fallida
3166,Valeria Rodríguez,30,M,Puno,Ahorros,7743.0,1416,3887,Depósito,2024-07-30 15:59:59.576829109,Exitosa
4715,Valeria Fernández,38,F,Cusco,Corriente,45289.0,7775,1449,Transferencia,2023-06-14 09:43:54.760968504,Pendiente
4964,Lucía Castillo,35,M,Piura,Ahorros,23646.0,14871,8286,Pago,2020-03-24 19:39:34.767602156,Fallida
3757,Valeria Torres,36,F,Junín,Corriente,4732.0,12720,9619,Retiro,2020-10-24 06:09:27.733652788,Exitosa
3685,Jorge Ramírez,64,F,Cusco,Plazo Fijo,20606.0,5547,-4407,Depósito,2023-07-06 08:23:11.459925540,Pendiente
1003,Carlos Pérez,52,M,Piura,Tarjeta de Crédito,49412.0,6944,19676,Retiro,2025-03-19 11:02:17.946328301,Fallida
1192,Carlos López,36,M,Puno,Corriente,6721.0,3391,-297,Transferencia,2023-08-27 22:56:29.830105400,Pendiente
3022,Andrés Gómez,27,M,Junín,Ahorros,15613.0,9842,10734,Transferencia,2023-04-17 20:37:50.656012901,Fallida
1580,Andrés Rodríguez,18,M,Junín,Ahorros,31653.0,7227,3155,Depósito,2023-07-18 13:42:52.049788342,Pendiente
817,Sofía López,52,F,Lima,Plazo Fijo,47389.0,12798,7598,Pago,2021-07-26 06:16:27.569653382,Pendiente
3265,Andrés García,69,M,Piura,Corriente,28566.0,5637,1341,Retiro,2023-03-04 02:44:08.323879373,Pendiente
3407,Sofía García,23,F,Loreto,Ahorros,49026.0,13766,6193,Retiro,2023-04-02 08:07:45.754052878,Pendiente
2900,Ana Martínez,59,F,La Libertad,Ahorros,13440.0,5358,11014,Retiro,2020-05-13 20:27:07.836671341,Pendiente
4455,Carlos Gómez,37,M,Loreto,Ahorros,45190.0,12936,14481,Pago,2021-12-27 22:45:14.291852039,Exitosa
579,Pedro Gómez,41,F,Loreto,Tarjeta de Crédito,48196.0,5824,4064,Depósito,2024-04-20 03:36:08.710504663,Fallida
3168,Lucía Fernández,51,M,Lima,Plazo Fijo,30845.0,12859,10190,Retiro,2025-01-13 03:17:49.862839480,Pendiente
2756,Valeria Castillo,18,F,Lambayeque,Ahorros,17834.0,11711,15613,Depósito,2022-10-25 09:03:49.025145536,Fallida
3082,María Fernández,53,F,La Libertad,Corriente,7228.0,12525,-3210,Transferencia,2021-09-28 05:30:46.906808902,Fallida
1457,Ana Torres,36,F,Piura,Plazo Fijo,14957.0,14268,-1791,Depósito,2023-10-17 15:17:19.721601620,Fallida
4945,Ana López,62,M,Loreto,Plazo Fijo,18025.0,8932,-3692,Depósito,2025-05-22 22:13:16.604241245,Fallida
1505,Pedro Ramírez,50,M,Ica,Tarjeta de Crédito,24240.0,9842,11745,Pago,2022-01-31 04:24:49.109946150,Exitosa
3786,Valeria Pérez,66,F,Junín,Tarjeta de Crédito,18636.0,4673,-4987,Depósito,2024-04-07 15:29:23.566237767,Exitosa
158,Sofía Ramírez,50,F,La Libertad,Tarjeta de Crédito,22621.0,3070,1060,Depósito,2025-04-16 12:16:08.989440618,Fallida
18,Valeria Rodríguez,57,F,Piura,Plazo Fijo,32275.0,7601,6374,Retiro,2022-04-08 18:49:54.739759229,Pendiente
4278,Andrés García,58,F,Puno,Tarjeta de Crédito,18806.0,11379,7148,Retiro,2025-02-02 04:00:00.055888553,Fallida
1210,Valeria Rodríguez,58,F,Loreto,Ahorros,18605.0,8764,11973,Depósito,2024-02-06 06:42:20.951105531,Fallida
3589,Pedro Ramírez,62,M,Lambayeque,Tarjeta de Crédito,17017.0,13856,12921,Depósito,2025-06-20 19:56:28.591991403,Fallida
656,Luis Castillo,66,M,Piura,Corriente,9968.0,14283,13695,Retiro,2024-01-21 15:15:28.358245495,Fallida
1730,Sofía Martínez,44,F,Junín,Corriente,48571.0,13715,870,Depósito,2021-11-12 15:06:04.826900169,Fallida
2651,Andrés Rodríguez,61,F,Piura,Corriente,43065.0,3390,10676,Depósito,2021-01-12 04:45:50.582270599,Exitosa
1989,Pedro Ramírez,29,F,Piura,Plazo Fijo,29077.0,4946,18950,Transferencia,2025-08-07 01:19:44.190173218,Fallida
4585,Jorge Castillo,47,F,Junín,Corriente,24531.0,12402,-691,Retiro,2024-04-08 01:43:08.240475328,Pendiente
1534,María García,67,F,La Libertad,Plazo Fijo,9363.0,7119,8423,Transferencia,2025-05-17 22:45:58.326977959,Fallida
454,Pedro Gómez,36,M,Arequipa,Corriente,20703.0,12435,-737,Retiro,2025-10-30 06:10:54.688097403,Pendiente
2582,Luis López,19,M,Loreto,Corriente,30135.0,8345,-3330,Depósito,2022-03-11 21:47:52.223185420,Pendiente
2124,María Gómez,22,M,Ica,Corriente,39269.0,12128,6947,Pago,2021-07-09 07:45:27.854333920,Exitosa
2834,Jorge Rodríguez,64,F,Lambayeque,Tarjeta de Crédito,34528.0,9848,17649,Pago,2021-02-10 13:39:51.069795892,Pendiente
333,Luis García,68,F,Junín,Tarjeta de Crédito,42846.0,13442,11820,Pago,2022-06-08 01:22:53.685131183,Exitosa
4195,Carlos Gómez,66,F,Piura,Corriente,24320.0,8782,17448,Depósito,2025-04-03 15:56:33.720943700,Fallida
339,Carlos García,51,M,Loreto,Ahorros,28954.0,5616,19667,Transferencia,2020-11-30 11:44:16.934809234,Fallida
4747,Andrés Castillo,58,M,Lima,Ahorros,46917.0,11063,17347,Transferencia,2020-09-23 18:56:45.578459338,Exitosa
3945,Carlos Rodríguez,56,M,Puno,Plazo Fijo,12194.0,14018,5391,Retiro,2025-07-24 18:22:06.612510447,Pendiente
643,Pedro López,55,M,Arequipa,Corriente,25767.0,4709,632,Transferencia,2025-09-15 23:49:11.744752147,Exitosa
2927,Luis García,35,M,Piura,Corriente,44970.0,2190,13568,Transferencia,2023-08-29 18:16:47.446594666,Pendiente
1920,Andrés Martínez,37,M,Puno,Ahorros,334.0,3734,18414,Retiro,2024-04-02 05:39:43.338272192,Pendiente
254,Ana López,20,F,Loreto,Tarjeta de Crédito,37281.0,9537,6002,Pago,2021-03-01 14:43:21.473221250,Exitosa
2460,Andrés Gómez,69,F,Lima,Tarjeta de Crédito,23692.0,6409,7245,Depósito,2022-06-04 20:04:25.916015236,Pendiente
345,Carlos Pérez,39,F,La Libertad,Plazo Fijo,9330.0,6822,11870,Retiro,2025-09-07 20:08:19.710127674,Exitosa
3686,Jorge García,23,F,Lambayeque,Corriente,30757.0,14171,18440,Transferencia,2021-05-01 09:47:55.852175209,Pendiente
4079,Ana López,19,M,La Libertad,Plazo Fijo,17418.0,14556,19173,Transferencia,2023-10-16 10:09:22.960270084,Pendiente
548,Carlos Pérez,69,M,Loreto,Plazo Fijo,3297.0,2422,5681,Retiro,2022-02-25 08:38:21.281537024,Pendiente
2130,Andrés López,60,M,Loreto,Tarjeta de Crédito,12814.0,5505,7929,Depósito,2025-04-15 16:33:38.040332081,Fallida
3073,Lucía Ramírez,41,M,Puno,Corriente,24973.0,2537,-2668,Retiro,2020-08-31 20:14:16.606079894,Exitosa
2991,Luis Gómez,30,F,Arequipa,Plazo Fijo,7717.0,10823,-3626,Pago,2022-08-07 13:41:29.566206386,Fallida
1223,Ana López,60,F,Piura,Corriente,11293.0,13469,10290,Depósito,2020-06-06 03:38:17.440529883,Fallida
3322,Carlos Martínez,31,F,Piura,Ahorros,3926.0,14711,12019,Retiro,2025-03-31 00:38:55.914543305,Exitosa
1886,Andrés Martínez,48,F,Arequipa,Corriente,3106.0,5622,9269,Retiro,2021-11-19 16:03:04.618895126,Pendiente
31,Andrés Rodríguez,26,F,Lambayeque,Plazo Fijo,33028.0,13219,-3944,Retiro,2021-03-06 20:44:36.522540666,Fallida
4034,Luis López,30,F,Lima,Corriente,25076.0,9409,-2719,Retiro,2022-05-17 11:33:43.424687591,Exitosa
2211,Ana Gómez,36,F,La Libertad,Plazo Fijo,29204.0,2175,17539,Retiro,2021-05-07 22:10:48.956489243,Pendiente
959,Pedro Ramírez,64,F,La Libertad,Tarjeta de Crédito,23511.0,3140,1178,Pago,2021-05-13 20:41:14.060265143,Pendiente
4462,Pedro Gómez,23,M,Lima,Corriente,6754.0,2035,-249,Depósito,2020-07-03 21:38:47.094078951,Exitosa
2910,Sofía López,46,M,Arequipa,Ahorros,29300.0,13228,8331,Retiro,2020-05-24 15:29:15.464768336,Pendiente
663,Andrés García,40,F,Puno,Tarjeta de Crédito,15395.0,6964,17122,Transferencia,2024-10-04 08:40:09.413220204,Pendiente
4840,Pedro Rodríguez,28,F,Lambayeque,Plazo Fijo,28485.0,6611,16019,Retiro,2021-02-16 19:20:38.104986402,Pendiente
4040,Lucía Torres,45,F,Puno,Corriente,30107.0,2737,-3228,Depósito,2021-01-13 01:59:06.521177276,Pendiente
3528,Ana López,38,F,Loreto,Ahorros,39833.0,1239,12551,Pago,2022-03-28 05:03:18.500947633,Exitosa
110,Jorge Gómez,39,F,Lima,Corriente,7635.0,9211,-1063,Transferencia,2021-01-09 13:02:25.099448062,Fallida
3585,Pedro López,63,M,Lima,Tarjeta de Crédito,656.0,5610,17710,Depósito,2025-05-06 01:03:37.668051121,Exitosa
4785,María Pérez,39,M,Lambayeque,Plazo Fijo,12326.0,6890,11851,Pago,2025-08-23 03:19:42.199302174,Pendiente
1879,Sofía Rodríguez,40,F,Cusco,Tarjeta de Crédito,44756.0,10928,11663,Transferencia,2023-07-02 14:45:58.250043663,Pendiente
2557,Carlos Ramírez,68,F,Cusco,Plazo Fijo,3972.0,14463,12420,Transferencia,2024-07-25 15:19:17.802322389,Pendiente
690,Ana Castillo,56,F,Arequipa,Ahorros,41116.0,7933,18486,Transferencia,2023-06-26 21:15:49.303993312,Exitosa
2316,Valeria Ramírez,52,F,Puno,Tarjeta de Crédito,514.0,14535,-4513,Pago,2024-09-12 15:48:29.927738568,Fallida
4343,Pedro Rodríguez,40,M,La Libertad,Plazo Fijo,4172.0,2220,13213,Depósito,2025-02-25 02:11:16.291909102,Pendiente
3883,Sofía López,51,M,Lima,Tarjeta de Crédito,37860.0,1010,-2509,Transferencia,2024-01-03 08:03:47.172427887,Pendiente
304,Carlos Gómez,22,M,Lambayeque,Plazo Fijo,6288.0,14085,13903,Retiro,2022-03-04 01:43:59.843591779,Fallida
1602,Valeria Martínez,52,F,La Libertad,Ahorros,39471.0,4744,4345,Pago,2021-07-06 06:47:46.805981114,Exitosa
4393,Lucía Torres,39,F,Puno,Tarjeta de Crédito,6540.0,8101,19441,Transferencia,2025-06-28 12:47:36.445398817,Fallida
672,Pedro Pérez,24,F,Lambayeque,Tarjeta de Crédito,19423.0,9339,-1824,Depósito,2024-04-28 13:26:56.084472918,Pendiente
